Country,Area,Waterbody_Type,Date,Ammonia_mg_L,BOD_mg_L,DO_mg_L,Orthophosphate_mg_L,pH,Temperature_C,Nitrogen_mg_L,Nitrate_mg_L,CCME_Values,CCME_WQI
Canada,Alberta,River,06-04-2020,0.159,2.42,10.86,0.11,7.46,35.0,0.33,0.71,89.03,Good
USA,Texas,Pond,23-11-2020,0.063,0.07,10.58,0.039,7.77,16.3,0.27,1.34,96.78,Excellent
England,London,Stream,20-02-2022,0.024,2.94,11.23,0.049,6.96,23.7,0.07,0.08,95.11,Excellent
China,Jiangsu,Creek,29-05-2021,0.129,2.03,12.85,0.186,6.66,34.1,0.58,0.59,90.99,Good
China,Beijing,Pond,22-08-2020,0.329,0.05,10.13,0.09,6.87,21.8,0.95,0.79,83.5,Good
China,Guangdong,Canal,05-08-2023,0.08,0.58,11.79,0.063,7.14,12.3,0.86,0.49,95.3,Excellent
Ireland,Dublin,Reservoir,09-06-2022,0.142,0.88,8.89,0.001,8.26,23.3,0.1,0.07,89.05,Good
Canada,Alberta,River,23-06-2021,0.068,0.21,15.0,0.032,6.96,13.1,0.15,0.85,96.36,Excellent
China,Shanghai,Creek,05-08-2020,0.098,0.94,12.48,0.035,8.02,3.6,1.55,1.61,93.91,Good
Ireland,Cork,Lake,04-02-2022,0.282,,12.25,0.043,7.27,13.4,0.39,1.55,83.71,Good
Canada,Ontario,Creek,25-10-2021,0.236,6.5,13.27,0.011,8.27,0.0,0.06,0.16,80.09,Good
England,London,River,13-01-2022,0.186,0.77,12.7,0.001,7.49,11.1,1.35,0.5,89.72,Good
Ireland,Cork,River,08-05-2021,0.163,2.66,13.9,0.017,7.38,9.5,0.16,2.08,88.54,Good
China,Beijing,River,22-09-2022,0.042,3.0,11.6,0.134,7.35,0.7,1.56,0.84,94.17,Good
USA,Pennsylvania,Canal,14-09-2020,0.226,0.77,13.31,0.025,7.61,21.5,0.01,3.54,87.74,Good
Canada,Alberta,Creek,04-12-2020,0.301,5.99,11.3,,7.21,12.8,0.8,0.89,77.47,Fair
Ireland,Limerick,Lake,09-01-2023,0.156,3.14,14.71,0.005,6.7,5.3,0.55,0.09,88.29,Good
Canada,British Columbia,Stream,07-10-2023,0.043,4.37,15.0,0.006,7.6,0.0,0.12,2.15,92.37,Good
Ireland,Limerick,Creek,13-07-2022,0.173,0.15,12.17,0.061,6.79,16.9,0.07,0.13,91.19,Good
USA,Texas,Lake,11-05-2020,0.427,5.88,10.36,0.07,6.95,24.2,0.38,0.13,71.3,Fair
Ireland,Dublin,Creek,08-02-2023,0.068,0.24,12.11,0.001,7.36,26.8,0.51,0.09,96.31,Excellent
Canada,Quebec,River,25-05-2020,0.327,1.75,12.14,0.023,7.12,25.2,0.27,3.04,81.44,Good
USA,Texas,River,05-03-2020,0.074,6.97,12.14,0.05,7.31,15.1,0.95,0.91,87.59,Good
Ireland,Dublin,Creek,02-05-2021,0.005,4.63,13.76,0.016,6.81,24.6,2.4,3.31,93.98,Good
Ireland,Limerick,Lake,09-01-2023,0.044,1.25,11.39,0.044,8.29,8.5,0.06,5.5,96.26,Excellent
Canada,Alberta,Lake,26-08-2022,0.115,3.36,14.04,0.009,6.9,0.0,1.93,2.59,90.03,Good
England,Manchester,River,17-07-2020,0.016,8.73,12.3,,6.54,29.7,0.38,5.26,88.27,Good
England,Birmingham,Stream,21-04-2022,0.054,1.26,12.2,0.016,6.97,17.2,0.05,3.0,95.74,Excellent
England,London,Pond,31-08-2023,,1.2,11.29,0.154,7.2,15.4,0.75,0.39,97.81,Excellent
USA,California,Stream,25-11-2021,0.012,0.89,13.46,,7.51,23.5,0.59,2.22,98.29,Excellent
USA,Texas,Lake,24-01-2021,0.052,4.19,15.0,0.007,7.79,15.5,0.02,2.11,92.18,Good
China,Jiangsu,Lake,14-05-2022,,0.48,12.13,0.001,8.08,26.9,0.35,1.34,98.67,Excellent
Canada,British Columbia,Stream,26-05-2021,0.153,1.44,13.1,0.025,6.61,0.0,0.78,2.97,90.54,Good
USA,New York,Canal,01-02-2023,0.061,0.6,13.21,0.196,7.56,14.9,0.54,0.6,96.18,Excellent
USA,California,Pond,12-01-2023,0.042,0.4,12.01,0.114,6.55,20.4,0.51,1.65,97.38,Excellent
USA,California,Canal,29-04-2021,0.019,0.08,11.64,0.016,6.73,11.4,0.16,0.14,98.97,Excellent
Canada,Alberta,Stream,12-09-2022,0.117,1.4,12.0,0.002,7.15,6.7,1.29,1.48,92.39,Good
Canada,Alberta,River,03-12-2020,0.02,2.76,10.39,0.012,6.6,21.8,0.37,0.99,95.53,Excellent
England,London,Stream,27-06-2021,0.029,0.07,13.37,0.062,6.44,25.9,1.8,1.08,93.16,Good
England,Birmingham,Stream,27-11-2023,0.076,1.19,12.9,0.014,7.08,7.2,0.25,0.71,94.71,Good
China,Jiangsu,Lake,23-01-2021,0.069,3.11,15.0,0.005,6.88,6.3,0.62,1.33,92.66,Good
Ireland,Cork,River,01-04-2023,0.033,0.27,14.73,0.023,7.64,11.5,0.83,1.27,97.99,Excellent
China,Beijing,Pond,04-10-2021,0.034,0.41,10.57,0.01,6.5,19.5,1.82,0.13,97.81,Excellent
USA,California,Creek,03-09-2022,0.012,8.08,14.53,0.025,6.96,0.0,2.79,3.01,89.31,Good
China,Shanghai,River,06-11-2022,0.081,5.3,12.15,0.042,6.91,21.0,0.26,2.2,89.31,Good
USA,Texas,River,03-05-2023,0.071,1.11,10.95,0.014,6.71,10.5,0.1,1.41,95.07,Excellent
USA,Texas,Stream,02-09-2020,0.005,1.52,13.23,0.021,7.52,1.7,0.12,0.1,97.83,Excellent
China,Shanghai,Creek,02-05-2023,0.143,2.29,13.62,0.045,6.59,10.2,0.51,0.8,90.0,Good
USA,Pennsylvania,River,08-05-2022,0.02,,12.72,0.003,7.49,13.4,1.08,1.28,92.03,Good
China,Guangdong,Reservoir,22-02-2021,0.023,3.17,12.27,0.009,6.9,14.0,0.14,2.53,94.91,Good
Ireland,Cork,Reservoir,21-03-2022,0.17,1.0,11.65,0.029,7.34,31.6,0.38,0.93,90.27,Good
Canada,British Columbia,Stream,09-10-2021,0.026,1.4,9.89,0.115,7.04,23.4,0.39,1.18,96.67,Excellent
USA,California,Stream,26-06-2023,0.158,0.3,9.17,0.048,7.32,21.2,0.61,3.36,89.64,Good
China,Beijing,River,06-01-2023,0.029,0.75,13.0,0.068,7.77,11.1,0.03,1.27,97.64,Excellent
Canada,British Columbia,Lake,15-12-2021,0.187,0.23,13.29,0.007,7.44,17.7,0.41,2.39,90.34,Good
USA,Texas,Reservoir,06-08-2021,0.127,2.56,11.51,0.051,6.94,11.6,0.95,1.17,90.43,Good
Canada,Alberta,Canal,17-01-2023,0.294,1.24,10.33,0.008,6.81,5.0,0.71,1.06,83.74,Good
Ireland,Dublin,Pond,09-02-2023,0.269,4.11,12.23,0.042,7.95,13.4,0.95,3.84,81.41,Good
Ireland,Dublin,Lake,25-06-2021,0.133,1.1,14.45,0.136,6.8,18.8,2.08,0.9,91.95,Good
USA,California,Pond,07-02-2023,0.006,1.02,10.79,,7.87,35.0,,0.01,98.45,Excellent
Canada,British Columbia,Reservoir,23-05-2023,0.043,0.85,14.56,0.067,6.69,1.8,0.48,0.38,96.81,Excellent
Canada,British Columbia,Lake,08-11-2023,0.069,0.39,12.68,0.027,7.24,6.0,1.97,0.68,96.07,Excellent
Ireland,Limerick,Reservoir,14-04-2020,0.577,0.18,10.7,0.035,8.12,24.0,0.72,0.1,74.78,Fair
USA,New York,Canal,20-07-2021,0.023,4.57,13.64,0.011,6.65,8.7,0.03,0.96,93.14,Good
USA,California,Reservoir,24-09-2020,,1.49,11.53,0.026,6.84,15.9,0.66,0.25,95.24,Excellent
Ireland,Cork,Pond,23-06-2022,0.047,5.84,11.39,0.016,7.95,17.3,0.83,0.79,90.36,Good
China,Jiangsu,Creek,20-01-2020,0.011,0.04,12.07,0.08,7.67,25.2,0.16,1.59,99.4,Excellent
USA,California,Pond,01-11-2020,0.128,0.56,11.94,0.097,6.64,12.2,1.42,0.76,92.9,Good
China,Beijing,Canal,26-01-2022,0.009,0.03,12.4,0.012,6.66,19.9,0.02,0.3,99.52,Excellent
China,Shanghai,Stream,18-09-2020,0.17,4.46,15.0,0.021,7.05,1.6,0.24,0.72,85.92,Good
USA,Florida,Reservoir,22-03-2020,0.057,1.61,9.59,0.017,6.42,19.8,2.37,2.16,88.72,Good
Ireland,Cork,Pond,26-05-2021,0.055,3.22,11.18,0.001,8.08,22.8,0.25,1.17,93.21,Good
USA,Florida,Canal,20-02-2023,0.075,8.32,11.66,,6.53,20.9,0.25,0.03,85.87,Good
England,Manchester,Lake,28-11-2020,0.105,1.62,14.13,0.089,7.11,2.0,0.18,0.02,92.71,Good
Canada,Alberta,River,02-01-2021,0.246,0.39,13.71,0.027,7.33,22.9,0.39,1.1,87.23,Good
Ireland,Limerick,Canal,03-10-2023,0.028,1.85,12.58,0.025,7.71,12.2,0.27,0.66,96.28,Excellent
Canada,British Columbia,Lake,07-12-2023,0.276,2.18,9.73,0.066,6.71,23.4,0.19,0.05,82.8,Good
USA,New York,Canal,20-03-2020,0.069,0.11,9.24,0.045,8.52,19.9,0.33,2.21,89.45,Good
England,Manchester,Lake,31-07-2022,0.171,0.57,9.64,0.08,7.18,29.2,0.95,0.48,89.85,Good
Ireland,Galway,Canal,11-04-2021,,0.19,15.0,0.007,8.11,0.9,2.4,0.89,87.3,Good
Canada,Ontario,Pond,30-01-2021,0.108,3.29,13.64,0.059,7.29,4.3,1.51,0.43,90.52,Good
England,Birmingham,Reservoir,22-05-2020,0.288,8.79,13.13,0.002,7.51,2.8,0.98,3.89,74.59,Fair
Ireland,Galway,Pond,09-11-2022,0.354,5.16,11.4,0.144,7.34,4.8,0.51,2.97,75.83,Fair
England,Birmingham,River,24-08-2020,0.004,3.53,13.7,0.045,7.73,11.3,0.21,0.19,95.4,Excellent
Ireland,Cork,Creek,27-06-2021,0.038,0.14,14.27,0.039,7.31,11.2,1.25,0.58,97.94,Excellent
USA,California,Creek,08-06-2022,0.027,1.91,11.73,0.001,6.75,21.9,1.63,0.03,96.28,Excellent
Ireland,Galway,Stream,26-05-2023,0.099,1.31,10.37,0.103,7.24,23.5,3.31,2.19,93.43,Good
China,Beijing,Stream,26-03-2023,0.027,2.68,10.71,0.006,7.9,1.5,0.35,0.51,95.29,Excellent
Canada,British Columbia,River,22-12-2023,0.114,0.97,12.56,0.012,6.7,8.9,2.4,2.32,93.1,Good
England,London,Creek,07-01-2023,0.29,4.23,10.89,0.031,7.32,13.7,0.76,0.27,80.24,Good
Canada,British Columbia,Stream,23-05-2020,0.019,0.52,12.04,0.012,7.28,18.9,0.17,2.27,98.37,Excellent
Ireland,Galway,Pond,12-09-2020,0.215,6.95,12.14,0.131,8.43,11.0,4.22,0.29,80.55,Good
Ireland,Galway,Pond,16-04-2022,0.025,3.38,11.21,0.013,7.91,10.4,0.62,1.35,94.5,Good
Ireland,Limerick,Pond,28-08-2021,0.031,4.2,12.92,0.007,7.44,8.3,1.76,4.67,93.21,Good
China,Shanghai,Lake,11-05-2022,0.053,,12.72,0.023,7.34,17.7,0.24,1.93,97.15,Excellent
England,Manchester,Creek,11-03-2023,0.115,0.5,12.66,0.004,8.21,8.3,1.52,1.03,93.63,Good
Ireland,Limerick,Creek,01-01-2020,0.083,2.27,11.69,,8.46,10.8,1.69,2.39,93.0,Good
Ireland,Galway,Lake,30-05-2022,0.123,,11.89,0.091,7.72,22.5,0.96,1.71,88.79,Good
China,Guangdong,Stream,23-06-2022,0.136,0.82,11.23,0.009,7.89,20.2,1.36,2.68,92.18,Good
England,Manchester,Creek,27-08-2022,0.096,0.68,12.19,0.199,7.27,13.2,,0.45,94.36,Good
Canada,Ontario,Reservoir,21-11-2022,0.078,2.86,9.81,0.165,7.52,32.3,0.33,1.5,92.04,Good
China,Guangdong,River,26-04-2021,0.036,,12.47,0.062,7.31,16.4,0.06,1.31,98.03,Excellent
Ireland,Cork,Canal,11-02-2021,0.002,2.84,12.38,0.001,7.8,2.8,0.31,1.01,96.33,Excellent
Canada,Ontario,River,16-05-2021,0.032,1.18,13.03,0.293,7.39,20.9,0.44,0.9,96.93,Excellent
England,London,Stream,28-04-2022,0.114,0.17,10.87,0.053,7.42,11.0,0.26,4.52,94.08,Good
China,Shanghai,Pond,27-11-2023,0.054,5.75,10.46,0.051,7.55,13.2,0.41,0.48,90.09,Good
England,Leeds,Stream,14-05-2021,0.003,0.48,11.44,0.053,7.18,16.9,0.37,3.0,99.24,Excellent
Canada,Ontario,Canal,06-08-2020,0.203,0.41,11.55,0.075,7.38,19.0,1.18,2.79,89.34,Good
England,Manchester,Lake,26-11-2023,0.066,3.18,11.23,0.006,7.52,25.6,0.11,1.74,92.74,Good
China,Jiangsu,River,15-02-2023,0.007,1.35,12.61,0.044,7.55,4.1,0.25,2.4,97.98,Excellent
Canada,Ontario,Stream,30-09-2020,0.034,1.83,12.82,0.059,6.98,0.0,1.57,2.27,95.98,Excellent
England,Birmingham,Canal,25-06-2022,0.028,0.22,11.16,0.216,6.0,14.8,0.12,1.04,90.84,Good
China,Jiangsu,Canal,27-01-2023,0.073,0.79,10.97,0.005,7.95,22.0,0.35,0.05,95.37,Excellent
England,Manchester,Pond,30-08-2022,0.084,0.28,11.05,0.058,7.21,13.6,1.29,0.33,95.45,Excellent
England,Birmingham,Canal,21-05-2021,0.205,2.47,11.35,0.063,7.9,22.4,1.29,0.62,86.67,Good
Ireland,Limerick,Pond,04-05-2021,0.06,3.4,13.33,0.052,6.88,15.9,0.6,1.97,92.74,Good
Ireland,Limerick,River,08-08-2021,0.041,7.45,11.91,0.01,6.87,11.1,1.25,1.61,88.64,Good
Canada,British Columbia,Reservoir,16-10-2021,0.026,2.54,9.86,0.28,7.41,35.0,2.94,1.58,95.17,Excellent
China,Beijing,Lake,04-11-2020,0.13,4.05,12.43,0.068,7.51,6.8,0.44,0.64,88.44,Good
Canada,Alberta,Pond,08-11-2020,0.067,2.58,15.0,0.103,6.37,2.5,1.85,0.82,87.76,Good
Canada,Ontario,Stream,14-04-2022,0.014,2.64,15.0,0.063,7.53,2.4,1.92,0.3,95.99,Excellent
Ireland,Limerick,Stream,07-05-2020,0.028,1.36,11.3,0.102,7.89,17.6,0.47,1.08,96.89,Excellent
Canada,Alberta,Stream,11-04-2023,0.03,6.97,12.85,0.053,7.77,1.1,0.31,2.23,89.79,Good
USA,Pennsylvania,Stream,03-09-2022,0.019,0.15,12.84,0.037,6.64,2.6,0.33,2.65,98.88,Excellent
USA,Florida,Reservoir,09-03-2022,0.018,0.37,14.59,0.002,6.42,11.6,1.07,1.64,93.23,Good
England,Manchester,Stream,25-03-2021,0.088,3.28,10.89,0.101,7.63,24.7,0.18,0.18,91.5,Good
Ireland,Limerick,Stream,29-02-2020,0.013,0.08,13.12,,7.16,14.7,2.17,0.57,99.25,Excellent
England,Birmingham,Pond,22-10-2023,0.431,0.32,12.48,0.168,7.23,10.3,0.0,4.55,78.02,Fair
England,Manchester,Canal,15-08-2022,0.11,1.34,13.22,0.008,7.66,17.8,0.02,0.55,92.83,Good
Canada,Ontario,Stream,27-04-2023,0.35,2.24,13.72,0.005,6.0,7.5,0.89,0.88,72.18,Fair
China,Beijing,River,09-08-2023,0.115,5.79,13.13,0.034,7.1,16.7,0.77,3.05,87.02,Good
England,Manchester,Canal,03-08-2022,0.117,5.35,12.46,0.056,7.45,11.4,0.19,1.61,87.47,Good
Canada,Ontario,Reservoir,15-02-2022,0.005,14.88,13.37,0.189,8.02,5.8,0.42,3.07,81.15,Good
Ireland,Cork,Stream,31-10-2021,0.211,2.68,13.88,0.026,6.82,17.7,0.32,1.65,86.11,Good
Ireland,Limerick,Reservoir,13-05-2022,0.013,3.41,10.99,0.039,7.5,20.6,0.0,0.59,95.1,Excellent
Ireland,Dublin,Stream,09-02-2020,0.049,,10.56,0.03,7.89,4.8,0.22,0.7,94.57,Good
China,Beijing,Reservoir,04-04-2021,0.199,0.96,10.16,0.037,8.02,23.1,0.52,0.04,88.85,Good
USA,California,Canal,04-03-2020,0.087,1.02,10.63,0.038,8.33,5.7,0.75,2.17,94.39,Good
Canada,Quebec,Canal,11-02-2020,0.262,0.56,12.46,0.003,7.5,21.8,2.18,0.65,86.21,Good
China,Shanghai,Lake,15-09-2020,0.034,0.59,10.6,0.018,7.34,14.7,1.3,1.16,97.58,Excellent
England,London,Creek,22-03-2021,0.013,1.07,11.77,0.01,7.66,2.4,0.91,0.3,98.02,Excellent
England,Birmingham,Canal,25-01-2022,0.084,0.23,10.86,0.015,7.67,29.8,2.64,0.99,95.53,Excellent
Canada,Ontario,Canal,01-12-2020,0.092,6.05,11.1,0.086,7.31,25.9,1.72,0.39,87.84,Good
Ireland,Dublin,Creek,22-02-2020,0.183,1.06,9.66,0.115,6.99,19.0,0.35,0.41,88.66,Good
Ireland,Limerick,Stream,10-02-2021,0.01,,10.84,0.049,6.84,22.2,0.48,1.33,96.74,Excellent
USA,Pennsylvania,Pond,08-07-2023,0.024,3.97,10.48,0.005,7.82,19.2,0.02,1.54,93.81,Good
Canada,Ontario,Pond,09-09-2021,0.069,,9.4,0.22,7.68,32.7,0.12,1.78,92.8,Good
China,Beijing,Canal,05-03-2023,0.118,2.53,10.28,0.237,6.52,3.5,0.11,0.16,90.94,Good
USA,Florida,Creek,27-05-2022,0.225,0.18,10.13,0.011,7.48,28.0,0.31,0.39,88.55,Good
Ireland,Dublin,Creek,19-08-2023,0.007,1.46,12.17,0.081,7.1,10.3,0.21,1.16,97.82,Excellent
Ireland,Dublin,Canal,10-05-2022,0.111,0.81,8.34,0.257,7.37,21.7,0.87,1.22,89.31,Good
England,London,Stream,11-01-2022,0.083,0.12,14.8,0.158,7.39,12.9,0.15,1.76,95.71,Excellent
England,Manchester,Stream,26-12-2020,0.043,2.82,12.96,0.055,7.28,3.7,1.27,3.93,94.34,Good
China,Guangdong,Creek,07-01-2023,0.489,0.33,10.32,0.131,6.75,10.7,0.62,2.77,75.13,Fair
England,Leeds,Stream,28-04-2023,0.175,0.27,11.97,,8.36,18.1,0.99,0.06,90.91,Good
Ireland,Galway,Canal,17-05-2021,0.009,0.89,11.52,0.138,7.05,6.4,0.65,0.55,98.43,Excellent
USA,Florida,Stream,14-05-2021,0.069,5.04,14.08,0.242,6.65,0.0,1.53,0.35,90.27,Good
England,Leeds,Reservoir,28-02-2020,0.203,4.21,14.1,0.082,8.45,11.5,1.25,0.55,84.61,Good
England,Birmingham,Lake,25-09-2022,0.371,0.85,13.41,0.051,7.11,9.0,1.38,0.21,80.37,Good
Canada,British Columbia,Canal,13-06-2021,0.019,2.89,9.58,0.035,6.75,34.7,0.41,0.24,94.37,Good
Ireland,Galway,Creek,07-12-2023,0.057,6.75,12.23,0.019,6.9,13.5,0.56,0.87,88.73,Good
Ireland,Dublin,Creek,26-01-2021,0.097,0.49,10.58,0.053,7.46,17.3,0.13,0.09,94.56,Good
USA,Texas,Pond,12-04-2022,0.027,8.23,11.03,0.008,7.09,26.9,0.1,0.54,88.34,Good
England,Manchester,Pond,02-09-2022,0.071,,10.82,0.286,7.03,17.4,1.35,1.43,96.28,Excellent
England,Leeds,Canal,05-02-2020,0.218,0.28,9.36,0.03,7.67,3.1,0.17,0.69,87.16,Good
USA,Florida,Lake,08-04-2022,0.147,2.65,10.56,0.001,7.67,24.7,0.43,0.98,89.36,Good
Canada,British Columbia,Pond,06-04-2023,0.028,0.02,9.47,0.186,6.93,18.1,1.29,4.81,97.26,Excellent
Ireland,Limerick,Creek,23-12-2022,0.061,1.59,12.75,0.093,7.29,7.0,0.08,1.0,94.99,Good
Ireland,Limerick,Pond,01-02-2023,0.05,0.94,12.45,0.031,6.98,7.9,1.23,3.34,96.31,Excellent
Ireland,Galway,Pond,18-07-2022,0.029,1.15,9.4,0.092,8.06,24.1,0.03,3.48,95.6,Excellent
Ireland,Galway,Reservoir,17-04-2021,0.095,2.02,13.6,0.003,8.28,10.2,0.58,0.24,92.71,Good
USA,Texas,Reservoir,01-09-2020,0.004,2.28,14.51,,7.35,15.7,1.01,0.11,96.94,Excellent
China,Shanghai,Lake,19-03-2021,0.02,2.17,14.58,0.01,6.53,7.2,0.08,1.62,96.27,Excellent
England,Birmingham,Pond,22-04-2023,,0.04,13.94,,6.87,8.7,0.28,2.2,99.52,Excellent
China,Guangdong,River,01-02-2021,0.149,1.91,10.31,0.052,6.49,27.0,0.6,0.06,85.11,Good
Ireland,Cork,Reservoir,02-01-2021,0.167,2.76,13.53,0.053,7.07,26.6,0.11,0.62,88.2,Good
Ireland,Dublin,Pond,29-12-2022,0.028,5.73,15.0,0.006,6.68,0.0,0.18,3.27,91.46,Good
Canada,British Columbia,River,21-04-2020,0.198,3.39,14.44,0.094,6.65,4.3,2.01,0.44,85.89,Good
China,Guangdong,Pond,15-09-2020,0.107,3.0,11.45,0.01,7.08,27.9,0.63,6.27,90.92,Good
England,London,Canal,26-01-2020,0.17,2.59,11.95,0.012,7.57,14.2,0.56,2.76,88.25,Good
China,Guangdong,Stream,07-09-2022,0.083,0.71,11.0,0.058,7.35,28.6,1.65,1.52,94.95,Good
England,Birmingham,Lake,15-04-2020,0.001,1.24,13.22,0.014,8.5,10.0,1.04,7.21,93.4,Good
Ireland,Limerick,River,13-05-2020,0.132,1.62,11.81,0.048,7.1,8.2,0.17,0.66,91.37,Good
England,Leeds,River,27-03-2023,0.143,0.01,13.96,0.002,7.49,17.2,1.1,0.34,92.83,Good
USA,Texas,Lake,26-02-2023,0.209,0.73,10.33,0.28,7.14,18.4,0.37,0.89,88.62,Good
Ireland,Dublin,Lake,30-08-2020,0.05,1.8,12.04,0.027,6.98,19.7,,0.0,95.27,Excellent
China,Jiangsu,Creek,05-05-2023,0.007,2.06,10.16,0.043,6.44,25.1,0.66,1.23,91.78,Good
China,Shanghai,Canal,06-12-2022,,3.27,12.13,0.087,8.48,28.0,0.55,0.12,94.34,Good
England,Leeds,Stream,31-08-2021,0.073,,13.41,0.029,7.11,11.4,0.13,0.6,92.47,Good
China,Jiangsu,Reservoir,10-03-2023,0.091,0.5,12.47,0.067,7.68,8.3,5.0,4.06,94.82,Good
China,Beijing,Creek,22-07-2020,0.053,0.25,12.35,0.092,6.69,29.8,0.39,1.27,97.05,Excellent
Canada,Quebec,Reservoir,14-09-2023,0.041,0.9,13.53,,7.49,5.0,0.02,2.67,96.84,Excellent
USA,Texas,Lake,21-12-2020,0.056,0.6,13.9,0.103,7.27,0.9,1.48,0.31,96.44,Excellent
China,Beijing,Lake,06-01-2020,0.014,1.32,14.24,0.004,7.13,13.5,1.04,1.03,97.63,Excellent
England,Leeds,Pond,01-05-2023,0.015,1.88,11.46,0.07,8.03,11.3,0.86,4.71,96.92,Excellent
England,Birmingham,River,19-04-2021,0.237,0.57,11.44,,7.43,7.2,0.25,2.14,87.45,Good
Ireland,Galway,Pond,18-07-2022,0.006,0.07,12.18,,7.95,12.8,0.12,1.14,99.59,Excellent
USA,Texas,Reservoir,04-07-2023,0.002,4.6,11.87,0.055,6.83,0.9,2.65,1.23,94.14,Good
China,Shanghai,Stream,23-08-2020,0.083,0.44,13.61,0.031,6.42,10.8,2.86,1.41,89.88,Good
China,Shanghai,Pond,01-11-2020,0.026,0.33,12.17,0.014,6.57,8.5,1.52,1.24,98.31,Excellent
Ireland,Cork,River,02-05-2020,0.123,0.14,12.59,0.039,6.69,15.5,0.07,0.92,93.67,Good
Canada,British Columbia,Creek,11-03-2023,0.19,5.83,12.93,0.055,7.55,4.9,0.5,0.8,83.23,Good
Ireland,Limerick,River,17-08-2022,0.061,3.28,10.39,0.003,7.51,31.5,1.23,0.34,92.82,Good
Ireland,Limerick,Reservoir,21-10-2022,0.141,0.8,11.8,0.037,6.84,9.3,0.18,3.15,91.93,Good
China,Jiangsu,Stream,13-06-2020,0.069,1.55,14.58,0.006,7.05,2.5,0.86,2.59,94.62,Good
China,Beijing,Stream,22-10-2021,0.023,6.68,10.1,0.037,7.16,25.5,0.27,2.36,90.52,Good
